,text_data,source,best_key_word,category,label
0,goal is about creating a world free of hunger by ,https://www.un.org/sustainabledevelopment/hunger,hunger 2030,Goal 2: Zero Hunger,2
1,the global issue of hunger and food insecurity has shown an alarming increase since a trend exacerbated by a combination of factors including the pandemic conflict climate change and deepening inequalities,https://www.un.org/sustainabledevelopment/hunger,food insecurity,Goal 2: Zero Hunger,2
2, by approximately million people or ,https://www.un.org/sustainabledevelopment/hunger,2022 approximately,Goal 2: Zero Hunger,2
3, of the world s population found themselves in a state of chronic hunger a staggering rise compared to ,https://www.un.org/sustainabledevelopment/hunger,chronic hunger,Goal 2: Zero Hunger,2
4, this data underscores the severity of the situation revealing a growing crisis,https://www.un.org/sustainabledevelopment/hunger,crisis,Goal 2: Zero Hunger,2
5, billion people faced moderate to severe food insecurity in ,https://www.un.org/sustainabledevelopment/hunger,food insecurity,Goal 2: Zero Hunger,2
6, this classification signifies their lack of access to sufficient nourishment,https://www.un.org/sustainabledevelopment/hunger,sufficient nourishment,Goal 2: Zero Hunger,2
7, this number escalated by an alarming million people compared to ,https://www.un.org/sustainabledevelopment/hunger,alarming 391,Goal 2: Zero Hunger,2
8, the persistent surge in hunger and food insecurity fueled by a complex interplay of factors demands immediate attention and coordinated global efforts to alleviate this critical humanitarian challenge,https://www.un.org/sustainabledevelopment/hunger,hunger,Goal 2: Zero Hunger,2
9, extreme hunger and malnutrition remains a barrier to sustainable development and creates a trap from which people cannot easily escape,https://www.un.org/sustainabledevelopment/hunger,hunger malnutrition,Goal 2: Zero Hunger,2
10, hunger and malnutrition mean less productive individuals who are more prone to disease and thus often unable to earn more and improve their livelihoods,https://www.un.org/sustainabledevelopment/hunger,hunger malnutrition,Goal 2: Zero Hunger,2
11, billion people in the world do not have reg ular access to safe nutritious and sufficient food,https://www.un.org/sustainabledevelopment/hunger,billion people,Goal 2: Zero Hunger,2
12, in million children had stunted growth and million children under the age of were affected by wasting,https://www.un.org/sustainabledevelopment/hunger,children stunted,Goal 2: Zero Hunger,2
13, it is projected that more than million people worldwide will be facing hunger in highlighting the immense challenge of achieving the zero hunger target,https://www.un.org/sustainabledevelopment/hunger,hunger 2030,Goal 2: Zero Hunger,2
14, people experiencing moderate food insecurity are typically unable to eat a healthy balanced diet on a regular basis because of income or other resource constraints,https://www.un.org/sustainabledevelopment/hunger,food insecurity,Goal 2: Zero Hunger,2
15, why are there so many hungry people,https://www.un.org/sustainabledevelopment/hunger,hungry people,Goal 2: Zero Hunger,2
16, shockingly the world is back at hunger levels not seen since and food prices remain higher in more countries than in the period ,https://www.un.org/sustainabledevelopment/hunger,world hunger,Goal 2: Zero Hunger,2
17, along with conflict climate shocks and rising cost of living civil insecurity and declining food production have all contributed to food scarcity and high food prices,https://www.un.org/sustainabledevelopment/hunger,food scarcity,Goal 2: Zero Hunger,2
18, investment in the agriculture sector is critical for reducing hunger and poverty improving food security creating employment and building resilience to disasters and shocks,https://www.un.org/sustainabledevelopment/hunger,investment agriculture,Goal 2: Zero Hunger,2
19, we all want our families to have enough food to eat that is safe and nutritious,https://www.un.org/sustainabledevelopment/hunger,families food,Goal 2: Zero Hunger,2
20, a world with zero hunger can positively impact our economies health education equality and social development,https://www.un.org/sustainabledevelopment/hunger,zero hunger,Goal 2: Zero Hunger,2
21, it s a key piece of building a better future for everyone,https://www.un.org/sustainabledevelopment/hunger,better future,Goal 2: Zero Hunger,2
22, additionally with hunger limiting human development we will not be able to achieve the other sustainable development goals such as education health and gender equality,https://www.un.org/sustainabledevelopment/hunger,hunger limiting,Goal 2: Zero Hunger,2
23, food security requires a multi dimensional approach from social protection to safeguard safe and nutritious food especially for children to transforming food systems to achieve a more inclusive and sustainable world,https://www.un.org/sustainabledevelopment/hunger,food security,Goal 2: Zero Hunger,2
24, there will need to be investments in rural and urban areas and in social protection so poor people have access to food and can improve their livelihoods,https://www.un.org/sustainabledevelopment/hunger,improve livelihoods,Goal 2: Zero Hunger,2
25, you can make changes in your own life at home at work and in the community by supporting local farmers or markets and making sustainable food choices supporting good nutrition for all and fighting food waste,https://www.un.org/sustainabledevelopment/hunger,sustainable food,Goal 2: Zero Hunger,2
26, you can also use your power as a consumer and voter demanding businesses and governments make the choices and changes that will make zero hunger a reality,https://www.un.org/sustainabledevelopment/hunger,consumer voter,Goal 2: Zero Hunger,2
27, join the conversation whether on social media platforms or in your local communities,https://www.un.org/sustainabledevelopment/hunger,join conversation,Goal 2: Zero Hunger,2
28, facts and figuresgoal targetslinksfacts and figures,https://www.un.org/sustainabledevelopment/hunger,targetslinksfacts figures,Goal 2: Zero Hunger,2
29,despite global efforts in an estimated million children under the age of suffered from wasting million had stunted growth and million were overweight,https://www.un.org/sustainabledevelopment/hunger,million children,Goal 2: Zero Hunger,2
30, a fundamental shift in trajectory is needed to achieve the nutrition targets,https://www.un.org/sustainabledevelopment/hunger,2030 nutrition,Goal 2: Zero Hunger,2
31, to achieve zero hunger by urgent coordinated action and policy solutions are imperative to address entrenched inequalities transform food systems invest in sustainable agricultural practices and reduce and mitigate the impact of conflict and the pandemic on global nutrition and food security,https://www.un.org/sustainabledevelopment/hunger,hunger 2030,Goal 2: Zero Hunger,2
32, source the sustainable development goals report goal targets ,https://www.un.org/sustainabledevelopment/hunger,development goals,Goal 2: Zero Hunger,2
33, by end hunger and ensure access by all people in particular the poor and people in vulnerable situations including infants to safe nutritious and sufficient food all year round,https://www.un.org/sustainabledevelopment/hunger,hunger,Goal 2: Zero Hunger,2
34, by end all forms of malnutrition including achieving by the internationally agreed targets on stunting and wasting in children under years of age and address the nutritional needs of adolescent girls pregnant and lactating women and older persons,https://www.un.org/sustainabledevelopment/hunger,malnutrition including,Goal 2: Zero Hunger,2
35, by double the agricultural productivity and incomes of small scale food producers in particular women indigenous peoples family farmers pastoralists and fishers including through secure and equal access to land other productive resources and inputs knowledge financial services markets and opportunities for value addition and non farm employment,https://www.un.org/sustainabledevelopment/hunger,agricultural productivity,Goal 2: Zero Hunger,2
36, by ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production that help maintain ecosystems that strengthen capacity for adaptation to climate change extreme weather drought flooding and other disasters and that progressively improve land and soil quality,https://www.un.org/sustainabledevelopment/hunger,resilient agricultural,Goal 2: Zero Hunger,2
37, by maintain the genetic diversity of seeds cultivated plants and farmed and domesticated animals and their related wild species including through soundly managed and diversified seed and plant banks at the national regional and international levels and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge as internationally agreed,https://www.un.org/sustainabledevelopment/hunger,diversity seeds,Goal 2: Zero Hunger,2
38,a increase investment including through enhanced international cooperation in rural infrastructure agricultural research and extension services technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries in particular least developed countries,https://www.un.org/sustainabledevelopment/hunger,enhance agricultural,Goal 2: Zero Hunger,2
39,b correct and prevent trade restrictions and distortions in world agricultural markets including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect in accordance with the mandate of the doha development round,https://www.un.org/sustainabledevelopment/hunger,export subsidies,Goal 2: Zero Hunger,2
40,c adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information including on food reserves in order to help limit extreme food price volatility,https://www.un.org/sustainabledevelopment/hunger,food commodity,Goal 2: Zero Hunger,2
41,c adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information including on food reserves in order to help limit extreme food price volatility,https://www.un.org/sustainabledevelopment/hunger,food commodity,Goal 2: Zero Hunger,2
42, links international fund for agricultural development food and agriculture organization world food programme unicef nutrition zero hunger challenge think,https://www.un.org/sustainabledevelopment/hunger,unicef nutrition,Goal 2: Zero Hunger,2
43, undp hunger fast facts no hunger infographic no hunger related news droughts are causing record devastation worldwide un backed report reveals gallery droughts are causing record devastation worldwide un backed report revealsdpicampaigns t jul worldwide some of the most widespread and damaging drought events in recorded history have occurred in recent years due to climate change and resource depletion,https://www.un.org/sustainabledevelopment/hunger,drought events,Goal 2: Zero Hunger,2
44, read full story on un news you have to be able to rule your life the care revolution in latin america gallery you have to be able to rule your life the care revolution in latin americadpicampaigns t jul globally there are ,https://www.un.org/sustainabledevelopment/hunger,care revolution,Goal 2: Zero Hunger,2
45, billion hours of work that the world never pays for because it barely even sees these duties,https://www.un.org/sustainabledevelopment/hunger,world pays,Goal 2: Zero Hunger,2
